row,reaction_id,mapping_success,mapping_confidence,clipzyme_graph_prerequisite,clipzyme_supported,support_status
136,MARTS_EXT_RXN_87203dec8e34,True,0.4785131365843056,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
137,MARTS_EXT_RXN_877408d79e1b,True,0.1612826762115234,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
138,MARTS_EXT_RXN_890006655690,True,0.6716580073385895,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
139,MARTS_EXT_RXN_8b03f1de5fce,True,0.0383019317321496,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
140,MARTS_EXT_RXN_8c6cae136e8b,True,0.610509903983664,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
141,MARTS_EXT_RXN_8d049834636c,True,0.8478004930522884,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
142,MARTS_EXT_RXN_8d2492a66172,True,0.5104356643732741,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
143,MARTS_EXT_RXN_8d7f7dd54117,True,0.0826695246257336,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
144,MARTS_EXT_RXN_8e685e0c0b69,True,0.0787481208798,False,False,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
145,MARTS_EXT_RXN_908734b433c3,True,0.5700234804676206,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
146,MARTS_EXT_RXN_90bccccecf9c,True,0.0772637346498712,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
147,MARTS_EXT_RXN_9239c973f487,True,0.2095765899292716,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
148,MARTS_EXT_RXN_92f6ef4d14a5,True,0.3366885617640485,False,False,clipzyme_graph_prereq_failed:reactant_product_map_sets_differ
149,MARTS_EXT_RXN_932a9e24c662,True,0.3765414584139216,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
150,MARTS_EXT_RXN_95048e61f00d,True,0.1419770306907361,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
151,MARTS_EXT_RXN_96ac57c79326,True,0.5144541573496796,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
152,MARTS_EXT_RXN_9799d98e2a75,True,0.787919549022851,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
153,MARTS_EXT_RXN_9864ce62f34c,True,0.2422359105298359,False,False,clipzyme_graph_prereq_failed:unmapped_atoms
