split_id,query_id,budget,candidate_universe,candidate_count,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,top1_is_uniprot,uniprot_above_best_positive
p0_r2,MARTS_RXN_8d2492a66172fc60,3,expanded,7093,1,0,0.0,693,0.001443001443001443,False,432
p0_r2,MARTS_RXN_a3e15b2ae79d1153,3,canonical,1421,2,0,0.0,284,0.0035211267605633804,False,0
p0_r2,MARTS_RXN_a3e15b2ae79d1153,3,expanded,7093,2,0,0.0,1462,0.0006839945280437756,False,1178
p0_r2,MARTS_RXN_bf12f5d59166518d,3,canonical,1421,1,0,0.0,561,0.0017825311942959,False,0
p0_r2,MARTS_RXN_bf12f5d59166518d,3,expanded,7093,1,0,0.0,2232,0.00044802867383512545,False,1671
p0_r2,MARTS_RXN_d1d507ef878dbc29,3,canonical,1421,1,0,0.0,21,0.047619047619047616,False,0
p0_r2,MARTS_RXN_d1d507ef878dbc29,3,expanded,7093,1,0,0.0,39,0.02564102564102564,False,18
p0_r2,MARTS_RXN_d86b1fdbc72dc191,3,canonical,1421,1,0,0.0,1360,0.0007352941176470588,False,0
p0_r2,MARTS_RXN_d86b1fdbc72dc191,3,expanded,7093,1,0,0.0,6828,0.00014645577035735208,False,5468
p0_r2,MARTS_RXN_eec1da2d17062901,3,canonical,1421,1,0,0.0,40,0.025,False,0
p0_r2,MARTS_RXN_eec1da2d17062901,3,expanded,7093,1,0,0.0,145,0.006896551724137931,True,105
p0_r2,MARTS_RXN_029b92fe95def7ba,10,canonical,1421,1,0,0.0,1074,0.000931098696461825,False,0
p0_r2,MARTS_RXN_029b92fe95def7ba,10,expanded,7093,1,0,0.0,5842,0.00017117425539198904,False,4768
p0_r2,MARTS_RXN_1d852b407f95b2b1,10,canonical,1421,1,0,0.0,70,0.014285714285714285,False,0
p0_r2,MARTS_RXN_1d852b407f95b2b1,10,expanded,7093,1,0,0.0,245,0.004081632653061225,False,175
p0_r2,MARTS_RXN_2e27139e482a6dfd,10,canonical,1421,1,0,0.0,70,0.014285714285714285,False,0
p0_r2,MARTS_RXN_2e27139e482a6dfd,10,expanded,7093,1,0,0.0,305,0.003278688524590164,False,235
p0_r2,MARTS_RXN_8d2492a66172fc60,10,canonical,1421,1,0,0.0,261,0.0038314176245210726,False,0
p0_r2,MARTS_RXN_8d2492a66172fc60,10,expanded,7093,1,0,0.0,693,0.001443001443001443,False,432
