campaign_scope,plate_id,reaction_id,candidate_id,selection_role,original_well,randomized_well,relative_candidate_slot
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,A0A385AJM5,uncertainty,A8,C8,CC2
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,F0ZL92,uncertainty,G7,A7,AC1
canonical_discovery,TPS_DISCOVERY_P03,MARTS_EXT_RXN_d4f733465fb3,Q54YE2,uncertainty,H7,B7,BC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A010YQZ8,diversity,B12,F11,FC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A3M8F3X6,diversity,C12,G11,GC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,Q9K499,diversity,D12,C11,CC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A291LSD6,exploitation,B11,D11,DC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A385AJN0,exploitation,E11,A12,AC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,B5GRC8,exploitation,A11,A11,AC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,B5GW45,exploitation,F11,B11,BC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,F8JK18,exploitation,C11,B12,BC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,marts_E00794,exploitation,D11,C12,CC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A1I1IX82,uncertainty,G11,H11,HC1
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A2P2GK84,uncertainty,H11,D12,DC2
canonical_discovery,TPS_DISCOVERY_P01,MARTS_EXT_RXN_cda281fba2bd,A0A2T0LNX7,uncertainty,A12,E11,EC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,A0A1J0CQ97,diversity,B10,C9,CC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,A0A401VY17,diversity,C10,C10,CC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,A0A6I2FRA3,diversity,D10,D10,DC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,A0A1H1T2Q7,exploitation,F9,G9,GC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,A0A386ZKV4,exploitation,A9,F9,FC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,M1V9Q0,exploitation,E9,A9,AC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,M1VDX3,exploitation,D9,E9,EC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,Q8L7G4,exploitation,C9,A10,AC2
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,marts_E00058,exploitation,B9,H9,HC1
canonical_discovery,TPS_DISCOVERY_P02,MARTS_EXT_RXN_71aa03bcb508,A0A1G9UQQ0,uncertainty,A10,B10,BC2
