enzyme_id,uniprot_id,status,attempted_versions,downloaded_version,download_url,local_path,error
A0A0U5GFR4,A0A0U5GFR4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GFR4.cif,
A0A0U5GFS8,A0A0U5GFS8,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GFS8.cif,
A0A0U5GGX2,A0A0U5GGX2,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GGX2.cif,
A0A0U5GHC1,A0A0U5GHC1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GHC1.cif,
A0A0U5GHD4,A0A0U5GHD4,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GHD4.cif,
A0A0U5GHG9,A0A0U5GHG9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GHG9.cif,
A0A0U5GHH9,A0A0U5GHH9,failed,v4:http_error=404|v3:http_error=404|v2:http_error=404,,,,v4:http_error=404; v3:http_error=404; v2:http_error=404
A0A0U5GHU6,A0A0U5GHU6,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GHU6.cif,
A0A0U5GIM7,A0A0U5GIM7,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GIM7.cif,
A0A0U5GIU9,A0A0U5GIU9,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GIU9.cif,
A0A0U5GJ41,A0A0U5GJ41,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GJ41.cif,
A0A0U5GJY1,A0A0U5GJY1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GJY1.cif,
A0A0U5GK88,A0A0U5GK88,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GK88.cif,
A0A0U5GMR5,A0A0U5GMR5,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GMR5.cif,
A0A0U5GNT1,A0A0U5GNT1,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GNT1.cif,
A0A0U5GQ05,A0A0U5GQ05,existing,,,,/home/runnel/igem-pocket/data/terpene_cage_screen/structures/A0A0U5GQ05.cif,
