split_id,direction,budget,query_id,n_positives,hit,positive_recall,best_positive_rank,reciprocal_rank,query_nearest_train_similarity,ensemble_top1_vote_fraction,ensemble_top1_rank_std,ensemble_top1_score_std,ensemble_top1_margin_z,ensemble_topk_jaccard,ensemble_topk_vote_mean,ensemble_boundary_margin_z
p0_r2,reaction_to_enzyme,10,MARTS_RXN_bf12f5d59166518d,1,0,0.0,561,0.0017825311942959,0.92380952835083,0.6666666666666666,0.471404492855072,0.0342310592532157,0.0135563231353519,0.5018315018315018,0.8,0.0524820757580015
p0_r2,reaction_to_enzyme,20,MARTS_RXN_bf12f5d59166518d,1,0,0.0,390,0.0025641025641025,0.92380952835083,0.6666666666666666,0.471404492855072,0.0448080040514469,0.0193405927417642,0.3486590038314176,0.6666666666666666,0.0040109834654012
p0_r2,reaction_to_enzyme,3,MARTS_RXN_d1d507ef878dbc29,1,0,0.0,21,0.0476190476190476,0.7414634227752686,1.0,0.0,0.0070995716378092,0.7931274434458767,0.6666666666666666,0.8888888888888888,0.0845802950600686
p0_r2,reaction_to_enzyme,10,MARTS_RXN_d1d507ef878dbc29,1,0,0.0,21,0.0476190476190476,0.7414634227752686,1.0,0.0,0.0070995716378092,0.7931274434458767,0.5445665445665445,0.8333333333333334,0.072238297922748
p0_r2,reaction_to_enzyme,20,MARTS_RXN_d1d507ef878dbc29,1,1,1.0,16,0.0625,0.7414634227752686,1.0,0.0,0.0195445045828819,0.5246608547700558,0.350742447516641,0.6833333333333333,6.326422029818889e-06
p0_r2,reaction_to_enzyme,3,MARTS_RXN_d86b1fdbc72dc191,1,0,0.0,1360,0.000735294117647,0.7777777910232544,1.0,0.0,0.0254757814109325,0.6276554727000193,0.3999999999999999,0.7777777777777778,0.1942314627560207
p0_r2,reaction_to_enzyme,10,MARTS_RXN_d86b1fdbc72dc191,1,0,0.0,1360,0.000735294117647,0.7777777910232544,1.0,0.0,0.0254757814109325,0.6276554727000193,0.6239316239316239,0.8666666666666667,0.0073652890139167
p0_r2,reaction_to_enzyme,20,MARTS_RXN_d86b1fdbc72dc191,1,0,0.0,1274,0.0007849293563579,0.7777777910232544,1.0,0.0,0.0248798672109842,0.1564785246546013,0.4462081128747795,0.75,0.0185654411267964
p0_r2,reaction_to_enzyme,3,MARTS_RXN_eec1da2d17062901,1,0,0.0,40,0.025,0.7650793790817261,0.6666666666666666,1.4142135381698608,0.0485718622803688,0.0752884946520948,0.5,0.7777777777777778,0.1944281411702756
p0_r2,reaction_to_enzyme,10,MARTS_RXN_eec1da2d17062901,1,0,0.0,40,0.025,0.7650793790817261,0.6666666666666666,1.4142135381698608,0.0485718622803688,0.0752884946520948,0.5384615384615384,0.8333333333333334,0.2215061980960763
p0_r2,reaction_to_enzyme,20,MARTS_RXN_eec1da2d17062901,1,0,0.0,36,0.0277777777777777,0.7650793790817261,0.6666666666666666,1.4142135381698608,0.0319579951465129,0.2380738534875222,0.5223443223443224,0.8166666666666667,0.0049091818303961
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_28c7414e3d1c7dc0,1,0,0.0,7,0.1428571428571428,0.9977368712425232,1.0,0.0,0.0,0.1889233173045378,0.2,0.4444444444444444,0.0073608375885788
p0_r2,enzyme_to_reaction,10,MARTS_SEQ_28c7414e3d1c7dc0,1,1,1.0,2,0.5,0.9977368712425232,1.0,0.0,0.0,0.6483964580043879,0.3739316239316239,0.7666666666666667,0.0399935165068636
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_3448de0e83a08b8a,1,0,0.0,22,0.0454545454545454,0.9929080009460448,1.0,0.0,0.0077037452720105,0.1287766335329434,0.3,0.6666666666666666,0.0998677320710536
p0_r2,enzyme_to_reaction,10,MARTS_SEQ_3448de0e83a08b8a,1,0,0.0,22,0.0454545454545454,0.9929080009460448,1.0,0.0,0.0,0.097843160967344,0.5811965811965812,0.8,0.1034675195165468
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_37ffc4d3027f73b2,1,0,0.0,98,0.010204081632653,0.9955896735191344,1.0,0.0,0.0027096075937151,0.0737358697149609,0.2,0.5555555555555556,0.0
p0_r2,enzyme_to_reaction,10,MARTS_SEQ_37ffc4d3027f73b2,1,0,0.0,150,0.0066666666666666,0.9955896735191344,1.0,0.0,8.101853745756671e-05,0.1224692242638474,0.3445378151260503,0.7333333333333333,0.0292842697897356
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_42f9f2b4a56ba7b0,1,0,0.0,82,0.0121951219512195,0.9977324604988098,0.0,0.0,0.0007821893086656,0.0168692522392774,0.4666666666666666,0.6666666666666666,0.0265082313502743
p0_r2,enzyme_to_reaction,10,MARTS_SEQ_42f9f2b4a56ba7b0,1,0,0.0,56,0.0178571428571428,0.9977324604988098,0.3333333333333333,1.6996731758117676,0.0004744222969748,0.0545224759558552,0.6744366744366744,0.9,0.5589960412146935
p0_r2,enzyme_to_reaction,3,MARTS_SEQ_49d3bd67bed124e6,2,0,0.0,101,0.0099009900990099,0.99361252784729,0.0,1.8856180906295776,0.0048848181031644,0.0074903881367145,0.0666666666666666,0.4444444444444444,0.0096304001916617
p0_r2,enzyme_to_reaction,10,MARTS_SEQ_49d3bd67bed124e6,2,0,0.0,90,0.0111111111111111,0.99361252784729,1.0,0.0,8.101853745756671e-05,0.1746983401453493,0.5018315018315018,0.8,0.0515583067985754
