protein_id,layer
A0A0U5CJT8,base
A0A0U5CJU2,base
A0A0U5CJU6,base
A0A0U5CJV1,base
A0A0U5CKW2,base
A0A0U5CNN8,base
A0A0U5CNP2,base
A0A0U5GFQ6,base
A0A0U5GFR4,base
A0A0U5GGX2,base
A0A0U5GHC1,base
A0A0U5GHD4,base
A0A0U5GHG9,base
A0A0U5GHU6,base
A0A0U5GIM7,base
A0A0U5GIU9,base
A0A0U5GJ41,base
A0A0U5GJY1,base
A0A0U5GMR5,base
A0A0U5GNT1,base
A0A0U5GQ05,base
A0A0U5GRB4,base
A0A0U5HAP0,base
A0A0U9HLF8,base
A0A0V8JA08,base
A0A0V8JE62,base
A0A0W0V2J2,base
A0A0X1SYT6,base
A0A0X1SZE5,base
A0A0X1T102,base
A0A0Y0GRS3,base
A0A0Y0MW44,base
A0A101MB86,base
A0A101NUQ8,base
A0A101PED6,base
A0A101PKU5,base
A0A101T124,base
A0A101TDN8,base
A0A101TRZ7,base
A0A101XT58,base
A0A101XTA6,base
A0A103E771,base
A0A103E772,base
A0A103E7D3,base
A0A103JXU3,base
A0A103XEQ4,base
A0A103XHT6,base
A0A103XPE3,base
A0A103XPJ8,base
A0A103XPM5,base
A0A103XTI4,base
A0A103Y1T8,base
A0A109IHW3,base
A0A109IME3,base
A0A109J6Y6,base
A0A109P4G8,base
A0A109QXM3,base
A0A110A2W7,base
A0A117ITM0,base
A0A117ML23,base
A0A117MMD9,base
A0A117PWF5,base
A0A117PYW3,base
A0A117QPZ4,base
A0A117RG81,base
A0A118JZ61,base
A0A120HUS7,base
A0A120HYZ1,base
A0A124EH39,base
A0A125QZE2,base
A0A125S8N1,base
A0A125S8N2,base
A0A135LJ77,base
A0A135RTQ7,base
A0A135S1P6,base
A0A135U004,base
A0A136IJK9,base
A0A136IJY7,base
A0A136IKF8,base
A0A136IVU6,base
A0A136PQF0,base
A0A139GXJ1,base
A0A139HH43,base
A0A139HTF8,base
A0A139WXP3,base
A0A139X035,base
A0A139X064,base
A0A139ZL21,base
A0A140AZ63,base
A0A140AZ66,base
A0A140AZ69,base
A0A140AZ72,base
A0A140C435,base
A0A140FAN3,base
A0A140GL79,base
A0A140IL90,base
A0A140IL91,base
A0A140IL92,base
A0A140JWS2,base
A0A140JWS4,base
A0A140JWS5,base
A0A140JWS6,base
A0A140JWS7,base
A0A140JWS8,base
A0A140JWS9,base
A0A140JWT0,base
A0A140JWT1,base
A0A140JWT2,base
A0A140JWT3,base
A0A140JWT4,base
A0A140JWT5,base
A0A140JWT6,base
A0A140JWT7,base
A0A140JWT8,base
A0A140JWT9,base
A0A140JWU0,base
A0A140JWU1,base
A0A140KFG9,base
A0A140LIF8,base
A0A140NDS5,base
A0A142BX70,base
A0A142BX71,base
A0A142BX72,base
A0A142BX74,base
A0A142C7A0,base
A0A142C7A1,base
A0A142C7A4,base
A0A142C7A5,base
A0A142F308,base
A0A142F309,base
A0A142F310,base
A0A142ZC57,base
A0A144A134,base
A0A144YEA5,base
A0A146FH52,base
A0A150FZ93,base
A0A150FZA9,base
A0A150L8D0,base
A0A150XSC5,base
A0A151EH88,base
A0A151GSE5,base
A0A151SRL2,base
A0A151SUY7,base
A0A151TWG4,base
A0A151Z379,base
A0A151ZEA6,base
A0A151ZIK5,base
A0A158RFK9,base
A0A159AKG3,base
A0A161CAI1,base
A0A161GJD5,base
A0A161IUT7,base
A0A161LA75,base
A0A163UT06,base
A0A164H4E9,base
A0A164IZF0,base
A0A164JCQ9,base
A0A164LP61,base
A0A164LP88,base
A0A164MPY2,base
A0A164NMD1,base
A0A164NME9,base
A0A164NMG1,base
A0A164T715,base
A0A164T7S8,base
A0A164Z0H7,base
A0A165B5H7,base
A0A165C073,base
A0A165CDM5,base
A0A165CJ54,base
A0A165EHB2,base
