row,reaction_id
1023,RHEA:14561
1024,RHEA:14569
1025,RHEA:14573
1026,RHEA:14581
1027,RHEA:14589
1028,RHEA:14597
1029,RHEA:14605
1030,RHEA:14609
1031,RHEA:14613
1032,RHEA:14621
1033,RHEA:14629
1034,RHEA:14633
1035,RHEA:14649
1036,RHEA:14653
1037,RHEA:14657
1038,RHEA:14665
1039,RHEA:14669
1040,RHEA:14673
1041,RHEA:14685
1042,RHEA:14697
1043,RHEA:14701
1044,RHEA:14705
1045,RHEA:14709
1046,RHEA:14717
1047,RHEA:14721
1048,RHEA:14729
1049,RHEA:14733
1050,RHEA:14737
1051,RHEA:14749
1052,RHEA:14753
1053,RHEA:14761
1054,RHEA:14765
1055,RHEA:14777
1056,RHEA:14781
