query_id,ranking_objective,canonical_slots,requested_uniprot_rescue_slots,uniprot_rescue_slots,architecture_contract_status,allowed_candidate_architectures,known_associations_masked,eligible_uniprot_candidates,selected_uniprot_candidates,selected_uniprot_evidence_tiers,maximum_selected_hub_fraction,strict_double_cold_status,strict_double_cold_hit_retention_fraction,strict_double_cold_quota_hit_probability,strict_double_cold_baseline_hits,strict_double_cold_quota_hits
MARTS_EXT_RXN_237f1c153ad6,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_237f1c153ad6,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0375,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_23b0ccdf5255,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_23b0ccdf5255,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,D_named_predicted,0.0125,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_247c337c8f65,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_247c337c8f65,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0458333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2554ee320331,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,2,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2554ee320331,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,2,3303,1,D_named_predicted,0.1375,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_27964350d2e0,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_27964350d2e0,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0833333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_29704a84d49c,top3,3,0,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_29704a84d49c,top10,10,1,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.1265822784810126,30,30
MARTS_EXT_RXN_29bbf964d264,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,3,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_29bbf964d264,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,3,3303,1,B_experimental_or_transcript_named,0.0666666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2a8513f7b1f9,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2a8513f7b1f9,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0458333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2d4d4df1341b,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2d4d4df1341b,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,D_named_predicted,0.1708333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2d848cafa6c3,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2d848cafa6c3,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0208333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2e27139e482a,top3,3,0,0,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,6,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2e27139e482a,top10,9,1,1,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,6,3303,1,D_named_predicted,0.0416666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2e59d1c7b929,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2e59d1c7b929,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,D_named_predicted,0.0291666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2e5de5bb57ab,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2e5de5bb57ab,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0625,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_2ffb342ca060,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,3,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_2ffb342ca060,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,3,3303,1,B_experimental_or_transcript_named,0.0041666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_308ae5d61a8d,top3,3,0,0,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,2,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_308ae5d61a8d,top10,9,1,1,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,2,3303,1,D_named_predicted,0.1041666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_318de1e2f880,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_318de1e2f880,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0541666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_324ed07f2f6e,top3,3,0,0,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,2,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_324ed07f2f6e,top10,9,1,1,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,2,3303,1,D_named_predicted,0.0083333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_33b3f74378db,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,11,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_33b3f74378db,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,11,3303,1,B_experimental_or_transcript_named,0.0166666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_37c622385e92,top3,3,0,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_37c622385e92,top10,10,1,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.1265822784810126,30,30
MARTS_EXT_RXN_380c83705f05,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_380c83705f05,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,D_named_predicted,0.175,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_38d26f0aa1b1,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_38d26f0aa1b1,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,C_homology_named,0.0375,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_3abc72608e40,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,9,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_3abc72608e40,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,9,3303,1,B_experimental_or_transcript_named,0.0666666666666666,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_3ae1fc659b14,top3,3,0,0,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,5,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_3ae1fc659b14,top10,9,1,1,multi_architecture_reference,bacterial_classI;classI_hybrid_full;plant_tps_full,5,3303,1,B_experimental_or_transcript_named,0.0375,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_3bed24cf1ac1,top3,3,0,0,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
MARTS_EXT_RXN_3bed24cf1ac1,top10,9,1,1,reference_supported,bacterial_classI;classI_hybrid_full;plant_tps_full,1,3303,1,B_experimental_or_transcript_named,0.0083333333333333,validated_unlabelled_decoy_stress_test,0.9333333333333332,0.1181434599156118,30,28
MARTS_EXT_RXN_3d09cb5fb800,top3,3,0,0,unsupported_or_unresolved_reference_family,,1,0,0,,0.0,validated_unlabelled_decoy_stress_test,1.0,0.0464135021097046,11,11
