reaction_id,cluster_id
MARTS_RXN_2176351dca9cd5fc,C20_GGPP_like::MARTS_RXN_2176351dca9cd5fc
MARTS_RXN_7b0c8670d1ee5632,C20_GGPP_like::MARTS_RXN_51c6e7c89344a669
MARTS_RXN_51c6e7c89344a669,C20_GGPP_like::MARTS_RXN_51c6e7c89344a669
MARTS_RXN_5904725d5317baab,C20_GGPP_like::MARTS_RXN_5904725d5317baab
MARTS_RXN_1c2da1449873c23c,C20_GGPP_like::MARTS_RXN_1c2da1449873c23c
MARTS_RXN_0e08d025745c0527,C20_GGPP_like::MARTS_RXN_0e08d025745c0527
MARTS_RXN_be815318a50a29dc,C20_GGPP_like::MARTS_RXN_029b92fe95def7ba
MARTS_RXN_f062a1f7997d101a,C20_GGPP_like::MARTS_RXN_f062a1f7997d101a
MARTS_RXN_e71ff45cbd78c666,C20_GGPP_like::MARTS_RXN_e71ff45cbd78c666
MARTS_RXN_237f1c153ad64a02,C20_GGPP_like::MARTS_RXN_237f1c153ad64a02
MARTS_RXN_714817f4ca78ea2c,C20_GGPP_like::MARTS_RXN_714817f4ca78ea2c
MARTS_RXN_71bb2acc38afd616,C20_GGPP_like::MARTS_RXN_714817f4ca78ea2c
MARTS_RXN_86ad65662f492c15,C20_GGPP_like::MARTS_RXN_86ad65662f492c15
MARTS_RXN_6385ac1fa7a9794c,C20_GGPP_like::MARTS_RXN_2d848cafa6c3ce23
MARTS_RXN_e056c9e6d498412e,C20_GGPP_like::MARTS_RXN_e056c9e6d498412e
MARTS_RXN_eba646fdd0707683,C20_GGPP_like::MARTS_RXN_eba646fdd0707683
MARTS_RXN_f965f9c2d3cbc1e8,C20_GGPP_like::MARTS_RXN_4fba5e08211844e3
MARTS_RXN_cbab60db5c926010,C20_GGPP_like::MARTS_RXN_3121b4ab4cb12631
MARTS_RXN_3121b4ab4cb12631,C20_GGPP_like::MARTS_RXN_3121b4ab4cb12631
MARTS_RXN_68261f5fd64cc84a,C20_GGPP_like::MARTS_RXN_0429f79d54e93205
MARTS_RXN_a9c17147ad90cb93,C20_GGPP_like::MARTS_RXN_a9c17147ad90cb93
MARTS_RXN_605fa04e84674359,C20_GGPP_like::MARTS_RXN_0b0f5e083f773cac
MARTS_RXN_c46a27e03090d09d,C20_GGPP_like::MARTS_RXN_0429f79d54e93205
MARTS_RXN_f0fe69f8e0b7d8e9,C20_GGPP_like::MARTS_RXN_56f1be1c880d5e55
MARTS_RXN_d4bafc235050ff51,C20_GGPP_like::MARTS_RXN_d4bafc235050ff51
MARTS_RXN_7b8aab66c453410b,C20_GGPP_like::MARTS_RXN_7b8aab66c453410b
MARTS_RXN_86a30d47d9f48e4c,C20_GGPP_like::MARTS_RXN_86a30d47d9f48e4c
MARTS_RXN_0b0f5e083f773cac,C20_GGPP_like::MARTS_RXN_0b0f5e083f773cac
MARTS_RXN_9799d98e2a755a35,C20_GGPP_like::MARTS_RXN_0b0f5e083f773cac
MARTS_RXN_fb686c0d23a3ed03,C20_GGPP_like::MARTS_RXN_0718113ff7068076
MARTS_RXN_0718113ff7068076,C20_GGPP_like::MARTS_RXN_0718113ff7068076
MARTS_RXN_3b6183e9f8724d46,C20_GGPP_like::MARTS_RXN_0feaca316b3fb310
MARTS_RXN_4b410b511327a71c,C20_GGPP_like::MARTS_RXN_4b410b511327a71c
MARTS_RXN_7f776e922bfd97ee,C20_GGPP_like::MARTS_RXN_7f776e922bfd97ee
